x,y,z
1381,80,62.0
1382,68,62.0
1382,80,62.0
1383,68,62.0
1383,80,62.0
1384,68,62.0
1384,80,62.0
1385,68,62.0
1385,80,62.0
1386,68,62.0
1386,80,62.0
1387,68,62.0
1387,80,62.0
1388,68,62.0
1388,80,62.0
1389,68,62.0
1389,80,62.0
1390,68,62.0
1390,80,62.0
1391,68,62.0
1391,80,62.0
1392,71,62.0
1392,83,62.0
1393,71,62.0
1393,83,62.0
1394,71,62.0
1394,83,62.0
1395,71,62.0
1395,83,62.0
1396,71,62.0
1396,83,62.0
1397,71,62.0
1397,83,62.0
1398,71,62.0
1398,83,62.0
1399,71,62.0
1399,83,62.0
1400,71,62.0
1400,83,62.0
1401,71,62.0
1401,83,62.0
1402,71,62.0
1402,83,62.0
1403,71,62.0
1403,83,62.0
1404,71,62.0
1404,83,62.0
1405,71,62.0
1405,83,62.0
1406,71,62.0
1406,83,62.0
1407,71,62.0
1407,83,62.0
1408,71,62.0
1408,83,62.0
1409,71,62.0
1409,83,62.0
1410,71,62.0
1410,83,62.0
1411,71,62.0
1411,83,62.0
1412,71,62.0
1412,83,62.0
1413,71,62.0
1413,83,62.0
1414,71,62.0
1414,83,62.0
1415,71,62.0
1415,83,62.0
1416,73,75.0
1416,85,75.0
1417,73,75.0
1417,85,75.0
1418,73,75.0
1418,85,75.0
1419,73,75.0
1419,85,75.0
1420,73,75.0
1420,85,75.0
1421,73,75.0
1421,85,75.0
1422,73,75.0
1422,85,75.0
1423,73,75.0
1423,85,75.0
1424,73,75.0
1424,85,75.0
1425,73,75.0
1425,85,75.0
1426,73,75.0
1426,85,75.0
1427,73,75.0
1427,85,75.0
1428,73,75.0
1428,85,75.0
1429,73,75.0
1429,85,75.0
1430,73,75.0
1430,85,75.0
1431,73,75.0
1431,85,75.0
1432,73,75.0
1432,85,75.0
1433,73,75.0
1433,85,75.0
1434,73,75.0
1434,85,75.0
1435,73,75.0
1435,85,75.0
1436,73,75.0
1436,85,75.0
1437,73,75.0
1437,85,75.0
1438,73,75.0
1438,85,75.0
1439,73,75.0
1439,85,75.0
1440,78,88.0
1440,90,88.0
1441,78,88.0
1441,90,88.0
1442,78,88.0
1442,90,88.0
1443,78,88.0
1443,90,88.0
1444,78,88.0
1444,90,88.0
1445,78,88.0
1445,90,88.0
1446,78,88.0
1446,90,88.0
1447,78,88.0
1447,90,88.0
1448,78,88.0
1448,90,88.0
1449,78,88.0
1449,90,88.0
1450,78,88.0
1450,90,88.0
1451,78,88.0
1451,90,88.0
1452,78,88.0
1452,90,88.0
1453,78,88.0
1453,90,88.0
1454,78,88.0
1454,90,88.0
1455,78,88.0
1455,90,88.0
1456,78,88.0
1456,90,88.0
1457,78,88.0
1457,90,88.0
1458,78,88.0
1458,90,88.0
1459,78,88.0
1459,90,88.0
1460,78,88.0
1460,90,88.0
1461,78,88.0
1461,90,88.0
1462,78,88.0
1462,90,88.0
1463,78,88.0
1463,90,88.0
1464,61,62.0
1465,61,62.0
1466,61,62.0
1467,61,62.0
1468,61,62.0
1469,61,62.0
1470,61,62.0
1471,61,62.0
1472,61,62.0
1473,61,62.0
1474,61,62.0
1475,61,62.0
1476,66,62.0
1477,66,62.0
1478,66,62.0
1479,66,62.0
1480,66,62.0
1481,66,62.0
1482,66,62.0
1483,66,62.0
1484,66,62.0
1485,66,62.0
1486,66,62.0
1487,66,62.0
1488,68,75.0
1489,68,75.0
1490,68,75.0
1491,68,75.0
1492,68,75.0
1493,68,75.0
1494,68,75.0
1495,68,75.0
1496,68,75.0
1497,68,75.0
1498,68,75.0
1499,68,75.0
1500,71,75.0
1501,71,75.0
1502,71,75.0
1503,71,75.0
1504,71,75.0
1505,71,75.0
1506,71,75.0
1507,71,75.0
1508,71,75.0
1509,71,75.0
1510,71,75.0
1511,71,75.0
1512,73,88.0
1513,73,88.0
1514,73,88.0
1515,73,88.0
1516,73,88.0
1517,73,88.0
1518,73,88.0
1519,73,88.0
1520,73,88.0
1521,73,88.0
1522,73,88.0
1523,73,88.0
1524,78,88.0
1525,78,88.0
1526,78,88.0
1527,78,88.0
1528,78,88.0
1529,78,88.0
1530,78,88.0
1531,78,88.0
1532,78,88.0
1533,78,88.0
1534,78,88.0
1535,78,88.0
1536,73,62.0
1537,73,62.0
1538,73,62.0
1539,73,62.0
1540,73,62.0
1541,73,62.0
1542,73,62.0
1543,73,62.0
1544,73,62.0
1545,73,62.0
1546,73,62.0
1547,73,62.0
1548,78,62.0
1549,78,62.0
1550,78,62.0
1551,78,62.0
1552,78,62.0
1553,78,62.0
1554,78,62.0
1555,78,62.0
1556,78,62.0
1557,78,62.0
1558,78,62.0
1559,78,62.0
1560,80,75.0
1561,80,75.0
1562,80,75.0
1563,80,75.0
1564,80,75.0
1565,80,75.0
1566,80,75.0
1567,80,75.0
1568,80,75.0
1569,80,75.0
1570,80,75.0
1571,80,75.0
1572,71,75.0
1572,83,75.0
1573,71,75.0
1573,83,75.0
1574,71,75.0
1574,83,75.0
1575,71,75.0
1575,83,75.0
1576,71,75.0
1576,83,75.0
1577,71,75.0
1577,83,75.0
1578,71,75.0
1578,83,75.0
1579,71,75.0
1579,83,75.0
1580,71,75.0
1580,83,75.0
1581,71,75.0
1581,83,75.0
1582,71,75.0
1582,83,75.0
1583,71,75.0
1583,83,75.0
1584,73,88.0
1584,85,88.0
1585,73,88.0
1585,85,88.0
1586,73,88.0
1586,85,88.0
1587,73,88.0
1587,85,88.0
1588,73,88.0
1588,85,88.0
1589,73,88.0
1589,85,88.0
1590,73,88.0
1590,85,88.0
1591,73,88.0
1591,85,88.0
1592,73,88.0
1592,85,88.0
1593,73,88.0
1593,85,88.0
1594,73,88.0
1594,85,88.0
1595,73,88.0
1595,85,88.0
1596,78,88.0
1596,90,88.0
1597,78,88.0
1597,90,88.0
1598,78,88.0
1598,90,88.0
1599,78,88.0
1599,90,88.0
1600,78,88.0
1600,90,88.0
1601,78,88.0
1601,90,88.0
1602,78,88.0
1602,90,88.0
1603,78,88.0
1603,90,88.0
1604,78,88.0
1604,90,88.0
1605,78,88.0
1605,90,88.0
1606,78,88.0
1606,90,88.0
1607,78,88.0
1607,90,88.0
1644,71,75.0
1645,71,75.0
1646,71,75.0
1647,71,75.0
1648,71,75.0
1649,71,75.0
1650,71,75.0
1651,71,75.0
1652,71,75.0
1653,71,75.0
1654,71,75.0
1655,71,75.0
1656,73,88.0
1657,73,88.0
1658,73,88.0
1659,73,88.0
1660,73,88.0
1661,73,88.0
1662,73,88.0
1663,73,88.0
1664,73,88.0
1665,73,88.0
1666,73,88.0
1667,73,88.0
1668,78,88.0
1669,78,88.0
1670,78,88.0
1671,78,88.0
1672,78,88.0
1673,78,88.0
1674,78,88.0
1675,78,88.0
1676,78,88.0
1677,78,88.0
1678,78,88.0
1679,78,88.0
1680,73,62.0
1680,78,62.0
1680,85,62.0
1681,73,62.0
1681,78,62.0
1681,85,62.0
1682,73,62.0
1682,78,62.0
1682,85,62.0
1683,73,62.0
1683,78,62.0
1683,85,62.0
1684,73,62.0
1684,78,62.0
1684,85,62.0
1685,73,62.0
1685,78,62.0
1685,85,62.0
1686,73,62.0
1686,78,62.0
1686,85,62.0
1687,73,62.0
1687,78,62.0
1687,85,62.0
1688,73,62.0
1688,78,62.0
1688,85,62.0
1689,73,62.0
1689,78,62.0
1689,85,62.0
1690,73,62.0
1690,78,62.0
1690,85,62.0
1691,73,62.0
1691,78,62.0
1691,85,62.0
1692,78,62.0
1692,83,62.0
1692,90,62.0
1693,78,62.0
1693,83,62.0
1693,90,62.0
1694,78,62.0
1694,83,62.0
1694,90,62.0
1695,78,62.0
1695,83,62.0
1695,90,62.0
1696,78,62.0
1696,83,62.0
1696,90,62.0
1697,78,62.0
1697,83,62.0
1697,90,62.0
1698,78,62.0
1698,83,62.0
1698,90,62.0
1699,78,62.0
1699,83,62.0
1699,90,62.0
1700,78,62.0
1700,83,62.0
1700,90,62.0
1701,78,62.0
1701,83,62.0
1701,90,62.0
1702,78,62.0
1702,83,62.0
1702,90,62.0
1703,78,62.0
1703,83,62.0
1703,90,62.0
1704,80,75.0
1704,85,75.0
1704,92,75.0
1705,80,75.0
1705,85,75.0
1705,92,75.0
1706,80,75.0
1706,85,75.0
1706,92,75.0
1707,80,75.0
1707,85,75.0
1707,92,75.0
1708,80,75.0
1708,85,75.0
1708,92,75.0
1709,80,75.0
1709,85,75.0
1709,92,75.0
1710,80,75.0
1710,85,75.0
1710,92,75.0
1711,80,75.0
1711,85,75.0
1711,92,75.0
1712,80,75.0
1712,85,75.0
1712,92,75.0
1713,80,75.0
1713,85,75.0
1713,92,75.0
1714,80,75.0
1714,85,75.0
1714,92,75.0
1715,80,75.0
1715,85,75.0
1715,92,75.0
1716,83,75.0
1716,90,75.0
1716,95,75.0
1717,83,75.0
1717,90,75.0
1717,95,75.0
1718,83,75.0
1718,90,75.0
1718,95,75.0
1719,83,75.0
1719,90,75.0
1719,95,75.0
1720,83,75.0
1720,90,75.0
1720,95,75.0
1721,83,75.0
1721,90,75.0
1721,95,75.0
1722,83,75.0
1722,90,75.0
1722,95,75.0
1723,83,75.0
1723,90,75.0
1723,95,75.0
1724,83,75.0
1724,90,75.0
1724,95,75.0
1725,83,75.0
1725,90,75.0
1725,95,75.0
1726,83,75.0
1726,90,75.0
1726,95,75.0
1727,83,75.0
1727,90,75.0
1727,95,75.0
1728,85,88.0
1728,92,88.0
1728,97,88.0
1729,85,88.0
1729,92,88.0
1729,97,88.0
1730,85,88.0
1730,92,88.0
1730,97,88.0
1731,85,88.0
1731,92,88.0
1731,97,88.0
